GISJOIN,YEAR,STUSAB,ANRCA,AIANHHA,RES_ONLYA,TRUSTA,AIANCC,RES_TRSTA,BLOCKA,BLCK_GRPA,TRACTA,CD101A,C_CITYA,CMSA,COUNTY,COUNTYA,CTY_SUBA,COUSUBCC,DIVISIONA,MSA_CMSAA,PLACEA,PLACECC,PLACEDC,PMSAA,REGIONA,STATE,STATEA,URBRURALA,URB_AREAA,CD103A,AREALAND,AREAWAT,ANPSADPI,FUNCSTAT,INTPTLAT,INTPTLNG,PSADC,ET1001,ET2001,ET2002,ET2003,ET2004,ET2005,ET2006,ET2007,ET2008,ET2009,ET2010
"G53003300086","1990","WA",,,,,,,,,"0086",,,"91","King","033",,,"9","7602",,,,"7600","4","Washington","53",,,,"0000000722","0000000000","Tract 86","S","+47607400","-122314749",,3016,1575,575,70,507,4,109,15,10,28,123
"G53003300087","1990","WA",,,,,,,,,"0087",,,"91","King","033",,,"9","7602",,,,"7600","4","Washington","53",,,,"0000000741","0000000000","Tract 87","S","+47605450","-122306874",,3300,803,1898,41,420,14,59,22,1,4,38
"G53003300088","1990","WA",,,,,,,,,"0088",,,"91","King","033",,,"9","7602",,,,"7600","4","Washington","53",,,,"0000000916","0000000000","Tract 88","S","+47607250","-122296042",,3278,577,2419,42,141,8,19,38,1,2,31
"G53003300089","1990","WA",,,,,,,,,"0089",,,"91","King","033",,,"9","7602",,,,"7600","4","Washington","53",,,,"0000001414","0000001628","Tract 89","S","+47598100","-122285361",,4218,1470,2242,25,282,7,52,39,0,10,91
"G53003300090","1990","WA",,,,,,,,,"0090",,,"91","King","033",,,"9","7602",,,,"7600","4","Washington","53",,,,"0000000834","0000000000","Tract 90","S","+47598100","-122308874",,1875,259,759,26,789,3,6,9,3,10,11
"G53003300091","1990","WA",,,,,,,,,"0091",,,"91","King","033",,,"9","7602",,,,"7600","4","Washington","53",,,,"0000000457","0000000000","Tract 91","S","+47598667","-122320358",,1598,449,293,54,642,2,47,12,16,39,44
"G53003300092","1990","WA",,,,,,,,,"0092",,,"91","King","033",,,"9","7602",,,,"7600","4","Washington","53",,,,"0000000294","0000000136","Tract 92","S","+47600650","-122333621",,1675,823,287,46,391,1,73,10,5,8,31
"G53003300093","1990","WA",,,,,,,,,"0093",,,"91","King","033",,,"9","7602",,,,"7600","4","Washington","53",,,,"0000009452","0000000729","Tract 93","S","+47577800","-122329675",,2049,866,333,75,649,6,30,17,6,5,62
"G5300330009399","1990","WA",,,,,,,,,"009399",,,"91","King","033",,,"9","7602",,,,"7600","4","Washington","53",,,,"0000000000","0000000000","Tract 93.99","S","+47596486","-122338801",,282,251,11,4,6,1,6,0,0,0,3
"G53003300094","1990","WA",,,,,,,,,"0094",,,"91","King","033",,,"9","7602",,,,"7600","4","Washington","53",,,,"0000001726","0000000000","Tract 94","S","+47588150","-122308674",,4933,1083,878,126,2501,16,56,16,30,72,155
"G53003300095","1990","WA",,,,,,,,,"0095",,,"91","King","033",,,"9","7602",,,,"7600","4","Washington","53",,,,"0000002492","0000002644","Tract 95","S","+47580800","-122284717",,5409,2559,1786,62,874,10,37,32,5,8,36
"G53003300096","1990","WA",,,,,,,,,"0096",,,"91","King","033",,,"9","7602",,,,"7600","4","Washington","53",,,,"0000001907","0000007124","Tract 96","S","+47595289","-122386368",,4719,4405,42,37,139,1,56,1,1,3,34
"G53003300097","1990","WA",,,,,,,,,"0097",,,"91","King","033",,,"9","7602",,,,"7600","4","Washington","53",,,,"0000004080","0000014276","Tract 97","S","+47587472","-122426398",,10289,9543,102,79,298,5,172,2,4,5,79
"G53003300098","1990","WA",,,,,,,,,"0098",,,"91","King","033",,,"9","7602",,,,"7600","4","Washington","53",,,,"0000001950","0000000000","Tract 98","S","+47572400","-122381674",,5611,5083,79,62,220,10,87,2,13,2,53
"G53003300099","1990","WA",,,,,,,,,"0099",,,"91","King","033",,,"9","7602",,,,"7600","4","Washington","53",,,,"0000006541","0000003656","Tract 99","S","+47574736","-122357765",,3658,2787,312,83,306,4,76,1,9,8,72
"G5300330009999","1990","WA",,,,,,,,,"009999",,,"91","King","033",,,"9","7602",,,,"7600","4","Washington","53",,,,"0000000000","0000000000","Tract 99.99","S","+47575650","-122360684",,66,57,3,1,2,0,3,0,0,0,0
"G53003300100","1990","WA",,,,,,,,,"0100",,,"91","King","033",,,"9","7602",,,,"7600","4","Washington","53",,,,"0000003170","0000000060","Tract 100","S","+47570233","-122303486",,7557,1883,1414,157,3748,30,84,21,7,97,116
"G53003300101","1990","WA",,,,,,,,,"0101",,,"91","King","033",,,"9","7602",,,,"7600","4","Washington","53",,,,"0000002509","0000001818","Tract 101","S","+47568256","-122274028",,5730,2034,2137,85,1246,13,59,31,8,33,84
"G53003300102","1990","WA",,,,,,,,,"0102",,,"91","King","033",,,"9","7602",,,,"7600","4","Washington","53",,,,"0000002799","0000001369","Tract 102","S","+47551233","-122257256",,4676,2259,1211,46,970,17,80,7,2,21,63
"G53003300103","1990","WA",,,,,,,,,"0103",,,"91","King","033",,,"9","7602",,,,"7600","4","Washington","53",,,,"0000001639","0000000000","Tract 103","S","+47553950","-122281040",,5363,1454,2295,91,1296,19,46,35,6,28,93
